sample-id	primer	week	location	type	to_remove	month_number	month	code_location	UDI	status
16S-S10-rivB-S21	16	S10	rivB	S21	NO	7	Jul.	ABAM	Marne	pre-station
16S-S10-rivT-S22	16	S10	rivT	S22	NO	7	Jul.	IREF	Marne	post-station
16S-S10-souB-S23	16	S10	souB	S23	NO	7	Jul.	LHBRUT	Vanne	pre-station
16S-S10-souT-S24	16	S10	souT	S24	NO	7	Jul.	LHGREF	Vanne	post-station
16S-S11-rivB-S25	16	S11	rivB	S25	NO	7	Jul.	ABAM	Marne	pre-station
16S-S11-rivT-S26	16	S11	rivT	S26	NO	7	Jul.	IREF	Marne	post-station
16S-S11-souB-S27	16	S11	souB	S27	NO	7	Jul.	LHBRUT	Vanne	pre-station
16S-S11-souT-S28	16	S11	souT	S28	NO	7	Jul.	LHGREF	Vanne	post-station
16S-S12-CE-S33	16	S12	CE	S33	YES	NA	NA	NA	NA	NA
16S-S12-rivB-S29	16	S12	rivB	S29	YES	NA	NA	ABAM	Marne	pre-station
16S-S12-rivT-S30	16	S12	rivT	S30	YES	NA	NA	IREF	Marne	post-station
16S-S12-souB-S31	16	S12	souB	S31	YES	NA	NA	LHBRUT	Vanne	pre-station
16S-S12-souT-S32	16	S12	souT	S32	YES	NA	NA	LHGREF	Vanne	post-station
16S-S1-rivB-S1	16	S1	rivB	S1	NO	2	Feb.	ABAM	Marne	pre-station
16S-S1-rivT-S2	16	S1	rivT	S2	NO	2	Feb.	IREF	Marne	post-station
16S-S1-souB-S3	16	S1	souB	S3	NO	2	Feb.	LHBRUT	Vanne	pre-station
16S-S1-souT-S4	16	S1	souT	S4	NO	2	Feb.	LHGREF	Vanne	post-station
16S-S2-rivB-S5	16	S2	rivB	S5	NO	3	Mar.	ABAM	Marne	pre-station
16S-S2-rivT-S66	16	S2	rivT	S66	YES	3	Mar.	IREF	Marne	post-station
16S-S2-rivT-test	16	S2	rivT	test	YES	3	Mar.	IREF	Marne	post-station
16S-S2-souB-S7	16	S2	souB	S7	NO	3	Mar.	LHBRUT	Vanne	pre-station
16S-S2-SouT-S1	16	S2	SouT	S1	NO	3	Mar.	LHGREF	Vanne	post-station
16S-S3-cf-S12	16	S3	cf	S12	YES	3	Mar.	NA	NA	NA
16S-S3-rivB-S8	16	S3	rivB	S8	NO	3	Mar.	ABAM	Marne	pre-station
16S-S3-rivT-S9	16	S3	rivT	S9	NO	3	Mar.	IREF	Marne	post-station
16S-S3-souB-S10	16	S3	souB	S10	NO	3	Mar.	LHBRUT	Vanne	pre-station
16S-S3-souT-S11	16	S3	souT	S11	NO	3	Mar.	LHGREF	Vanne	post-station
16S-S4-rivB-S13	16	S4	rivB	S13	NO	4	Apr.	ABAM	Marne	pre-station
16S-S4-rivT-S14	16	S4	rivT	S14	NO	4	Apr.	IREF	Marne	post-station
16S-S4-souB-S15	16	S4	souB	S15	NO	4	Apr.	LHBRUT	Vanne	pre-station
16S-S4-souT-S16	16	S4	souT	S16	NO	4	Apr.	LHGREF	Vanne	post-station
16S-S5-rivB-S17	16	S5	rivB	S17	NO	5	May	ABAM	Marne	pre-station
16S-S5-rivT-S18	16	S5	rivT	S18	NO	5	May	IREF	Marne	post-station
16S-S5-souB-S19	16	S5	souB	S19	NO	5	May	LHBRUT	Vanne	pre-station
16S-S5-SouT-S2	16	S5	SouT	S2	NO	5	May	LHGREF	Vanne	post-station
16S-S6-CF-S16	16	S6	CF	S16	YES	5	May	NA	NA	NA
16S-S6-rivB-S3	16	S6	rivB	S3	NO	5	May	ABAM	Marne	pre-station
16S-S6-rivT-S4	16	S6	rivT	S4	NO	5	May	IREF	Marne	post-station
16S-S6-souB-S6	16	S6	souB	S6	NO	5	May	LHBRUT	Vanne	pre-station
16S-S6-souT-S7	16	S6	souT	S7	NO	5	May	LHGREF	Vanne	post-station
16S-S7-contF-S7	16	S7	contF	S7	YES	5	May	NA	NA	NA
16S-S7-rivB-S8	16	S7	rivB	S8	NO	5	May	ABAM	Marne	pre-station
16S-S7-rivT-S5	16	S7	rivT	S5	NO	5	May	IREF	Marne	post-station
16S-S7-rivT-S9	16	S7	rivT	S9	NO	5	May	IREF	Marne	post-station
16S-S7-souB-S10	16	S7	souB	S10	NO	5	May	LHBRUT	Vanne	pre-station
16S-S7-souT-S11	16	S7	souT	S11	NO	5	May	LHGREF	Vanne	post-station
16S-S8-rivB-S12	16	S8	rivB	S12	NO	6	Jun.	ABAM	Marne	pre-station
16S-S8-rivT-S13	16	S8	rivT	S13	NO	6	Jun.	IREF	Marne	post-station
16S-S8-souB-S14	16	S8	souB	S14	NO	6	Jun.	LHBRUT	Vanne	pre-station
16S-S8-souT-S15	16	S8	souT	S15	NO	6	Jun.	LHGREF	Vanne	post-station
16S-S9-rivB-S17	16	S9	rivB	S17	NO	6	Jun.	ABAM	Marne	pre-station
16S-S9-rivT-S18	16	S9	rivT	S18	NO	6	Jun.	IREF	Marne	post-station
16S-S9-souB-S19	16	S9	souB	S19	NO	6	Jun.	LHBRUT	Vanne	pre-station
16S-S9-souT-S20	16	S9	souT	S20	NO	6	Jun.	LHGREF	Vanne	post-station
